customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,contract_encoded,contract_risk_score,has_internet,is_fiber,is_dsl,payment_Bank transfer (automatic),payment_Credit card (automatic),payment_Electronic check,payment_Mailed check,is_auto_payment,is_electronic_check,OnlineSecurity_binary,OnlineBackup_binary,DeviceProtection_binary,TechSupport_binary,StreamingTV_binary,StreamingMovies_binary,MultipleLines_binary,tenure_group,tenure_group_encoded,is_new_customer,price_segment,price_segment_encoded,is_high_price,TotalCharges_log,avg_monthly_spend,total_services,security_services_count,entertainment_services_count,has_any_services,is_fully_engaged,has_security_bundle,has_premium_protection,has_security_gap,has_partial_security,is_likely_household,family_size_indicator,is_heavy_streaming,projected_24m_value,revenue_per_month,loyalty_value_score,mtm_new_customer,mtm_mid_tenure,long_contract_loyal,fiber_mtm_risk,fiber_long_contract,high_price_no_services,high_price_full_services,new_customer_high_price,echeck_no_autopay,paperless_no_autopay,senior_no_support,single_minimal_services,is_flight_risk,is_value_at_risk,needs_retention,upsell_opportunity,premium_retention_target
7590-VHVEG,0,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.85,29.85,0,0,2,1,0,1,False,False,True,False,0,1,0,1,0,0,0,0,0,0-12m,0,1,low,0,0,3.4291367503513968,14.925,1,1,0,1,0,0,0,0,1,1,1,0,716.4000000000001,29.85,14.925,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
5575-GNVDE,1,0,0,0,34,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,1889.5,0,1,1,1,0,1,False,False,False,True,0,0,1,0,1,0,0,0,0,25-36m,2,0,medium,1,0,7.544596623330987,53.98571428571429,2,2,0,1,0,0,0,0,1,0,0,0,1366.8000000000002,55.5735294117647,1835.5142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3668-QPYBK,1,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,0,2,1,0,1,False,False,False,True,0,0,1,1,0,0,0,0,0,0-12m,0,1,medium,1,0,4.692723082995953,36.05,2,2,0,1,0,1,0,0,1,0,0,0,1292.4,54.075,72.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7795-CFOCW,1,0,0,0,45,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,1840.75,0,1,1,1,0,1,True,False,False,False,1,0,1,0,1,1,0,0,0,37m+,3,0,medium,1,0,7.518471485562923,40.016304347826086,3,3,0,1,0,0,0,0,0,0,0,0,1015.1999999999999,40.90555555555556,1800.7336956521738,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9237-HQITU,0,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,0,0,0,0-12m,0,1,high,2,1,5.028147719180887,50.55,0,0,0,0,0,0,0,1,0,0,0,0,1696.8000000000002,75.825,101.1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0
9305-CDSKC,0,0,0,0,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,0,2,1,1,0,False,False,True,False,0,1,0,0,1,0,1,1,1,0-12m,0,1,high,2,1,6.711131937477322,91.16666666666669,3,1,2,1,0,0,0,0,1,0,0,1,2391.6000000000004,102.5625,729.3333333333335,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
1452-KIOVK,1,0,0,1,22,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,0,2,1,1,0,False,True,False,False,1,0,0,1,0,0,1,0,1,13-24m,1,0,high,2,1,7.575789758727007,84.75652173913043,2,1,1,1,0,0,0,0,1,1,1,0,2138.3999999999996,88.60909090909091,1864.6434782608696,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6713-OKOMC,0,0,0,0,10,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.75,301.9,0,0,2,1,0,1,False,False,False,True,0,0,1,0,0,0,0,0,0,0-12m,0,1,low,0,0,5.713402718033191,27.44545454545454,1,1,0,1,0,0,0,0,1,0,0,0,714.0,30.189999999999998,274.45454545454544,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7892-POOKP,0,0,1,0,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,0,2,1,1,0,False,False,True,False,0,1,0,0,1,1,1,1,1,25-36m,2,0,high,2,1,8.02192918843427,105.03620689655172,4,2,2,1,0,0,0,0,1,1,1,1,2515.2,108.78750000000001,2941.0137931034483,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
6388-TABGU,1,0,0,1,62,1,No,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95,0,1,1,1,0,1,True,False,False,False,1,0,1,1,0,0,0,0,0,37m+,3,0,medium,1,0,8.15735611033029,55.364285714285714,2,2,0,1,0,1,0,0,1,1,1,0,1347.6,56.25725806451613,3432.5857142857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
