customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,contract_encoded,contract_risk_score,has_internet,is_fiber,is_dsl,payment_Bank transfer (automatic),payment_Credit card (automatic),payment_Electronic check,payment_Mailed check,is_auto_payment,is_electronic_check,OnlineSecurity_binary,OnlineBackup_binary,DeviceProtection_binary,TechSupport_binary,StreamingTV_binary,StreamingMovies_binary,MultipleLines_binary,tenure_group,tenure_group_encoded,is_new_customer,price_segment,price_segment_encoded,is_high_price,TotalCharges_log,avg_monthly_spend
7590-VHVEG,0,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.85,29.85,0,0,2,1,0,1,False,False,True,False,0,1,0,1,0,0,0,0,0,0-12m,0,1,low,0,0,3.4291367503513968,14.925
5575-GNVDE,1,0,0,0,34,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,1889.5,0,1,1,1,0,1,False,False,False,True,0,0,1,0,1,0,0,0,0,25-36m,2,0,medium,1,0,7.544596623330987,53.98571428571429
3668-QPYBK,1,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,0,2,1,0,1,False,False,False,True,0,0,1,1,0,0,0,0,0,0-12m,0,1,medium,1,0,4.692723082995953,36.050000000000004
7795-CFOCW,1,0,0,0,45,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,1840.75,0,1,1,1,0,1,True,False,False,False,1,0,1,0,1,1,0,0,0,37m+,3,0,medium,1,0,7.518471485562923,40.016304347826086
9237-HQITU,0,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,0,0,0,0-12m,0,1,high,2,1,5.028147719180887,50.550000000000004
9305-CDSKC,0,0,0,0,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,0,2,1,1,0,False,False,True,False,0,1,0,0,1,0,1,1,1,0-12m,0,1,high,2,1,6.711131937477322,91.16666666666667
1452-KIOVK,1,0,0,1,22,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,0,2,1,1,0,False,True,False,False,1,0,0,1,0,0,1,0,1,13-24m,1,0,high,2,1,7.575789758727007,84.75652173913043
6713-OKOMC,0,0,0,0,10,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.75,301.9,0,0,2,1,0,1,False,False,False,True,0,0,1,0,0,0,0,0,0,0-12m,0,1,low,0,0,5.713402718033191,27.44545454545454
7892-POOKP,0,0,1,0,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,0,2,1,1,0,False,False,True,False,0,1,0,0,1,1,1,1,1,25-36m,2,0,high,2,1,8.02192918843427,105.03620689655173
6388-TABGU,1,0,0,1,62,1,No,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95,0,1,1,1,0,1,True,False,False,False,1,0,1,1,0,0,0,0,0,37m+,3,0,medium,1,0,8.15735611033029,55.364285714285714
9763-GRSKD,1,0,1,1,13,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45,0,0,2,1,0,1,False,False,False,True,0,0,1,0,0,0,0,0,0,13-24m,1,0,medium,1,0,6.377491961323671,41.96071428571429
7469-LKBCI,1,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0,2,0,0,0,0,False,True,False,False,1,0,0,0,0,0,0,0,0,13-24m,1,0,low,0,0,5.792403666309729,19.223529411764705
8091-TTVAX,1,0,1,0,58,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,5681.1,0,1,1,1,1,0,False,True,False,False,1,0,0,0,1,0,1,1,1,37m+,3,0,high,2,1,8.645076161696084,96.28983050847458
0280-XJGEX,1,0,0,0,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,0,2,1,1,0,True,False,False,False,1,0,0,1,1,0,1,1,1,37m+,3,0,high,2,1,8.524625503233533,100.726
5129-JLPIS,1,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,2686.05,0,0,2,1,1,0,False,False,True,False,0,1,1,0,1,1,1,1,0,25-36m,2,0,premium,3,1,7.8961992165555,103.3096153846154
3655-SNQYZ,0,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,2,0,1,1,0,False,True,False,False,1,0,1,1,1,1,1,1,1,37m+,3,0,premium,3,1,8.974130577893364,112.78785714285713
8191-XWSZG,0,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0,1,1,0,0,0,False,False,False,True,0,0,0,0,0,0,0,0,0,37m+,3,0,low,0,0,6.931422976282321,19.300943396226415
9959-WOFKT,1,0,0,1,71,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,7382.25,0,2,0,1,1,0,True,False,False,False,1,0,1,0,1,0,1,1,1,37m+,3,0,premium,3,1,8.906969200059761,102.53125
4190-MFLUW,0,0,1,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,0,2,1,0,1,False,True,False,False,1,0,0,0,1,1,0,0,0,0-12m,0,1,medium,1,0,6.271649838789389,48.03181818181818
4183-MYFRB,0,0,0,0,21,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,1862.9,0,0,2,1,1,0,False,False,True,False,0,1,0,1,1,0,0,1,0,13-24m,1,0,high,2,1,7.530426345737758,84.67727272727274
8779-QRDMV,1,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,0,2,1,0,1,False,False,True,False,0,1,0,0,1,0,0,1,0,0-12m,0,1,medium,1,0,3.7049988359938197,19.825
1680-VDCWW,1,0,1,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0,1,1,0,0,0,True,False,False,False,1,0,0,0,0,0,0,0,0,0-12m,0,1,low,0,0,5.31443674842792,15.557692307692308
1066-JKSGK,1,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,0,2,0,0,0,False,False,False,True,0,0,0,0,0,0,0,0,0,0-12m,0,1,low,0,0,3.0516399054922867,10.075
3638-WEABW,0,0,1,0,58,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0,2,0,1,0,1,False,True,False,False,1,0,0,1,0,1,0,0,1,37m+,3,0,medium,1,0,8.16225958760722,59.40847457627118
6322-HRPFA,1,0,1,1,49,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,0,2,1,0,1,False,True,False,False,1,0,1,1,0,1,0,0,0,37m+,3,0,medium,1,0,7.996754846467186,59.406000000000006
6865-JZNKO,0,0,0,0,30,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,0,2,1,0,1,True,False,False,False,1,0,1,1,0,0,0,0,0,25-36m,2,0,medium,1,0,7.3340682196031395,49.37419354838709
6467-CHFZW,1,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,0,2,1,1,0,False,False,True,False,0,1,0,1,0,0,1,1,1,37m+,3,0,high,2,1,8.46593147547745,98.940625
8665-UTDHZ,1,0,1,1,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,0,2,1,0,1,False,False,True,False,0,1,0,1,0,0,0,0,0,0-12m,0,1,low,0,0,3.4404180948154366,15.1
5248-YGIJN,1,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,0,2,0,1,0,1,False,True,False,False,1,0,1,1,1,1,1,1,1,37m+,3,0,high,2,1,8.759425389713137,87.2527397260274
8773-HHUOZ,0,0,0,1,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,0,2,1,0,1,False,False,False,True,0,0,0,0,0,0,1,1,0,13-24m,1,0,medium,1,0,6.9976873864827445,60.727777777777774
3841-NFECX,0,1,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,6766.95,0,2,0,1,1,0,False,True,False,False,1,0,1,1,1,1,0,0,1,37m+,3,0,high,2,1,8.819953513551914,93.98541666666667
4929-XIHVW,1,1,1,0,2,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0,0,2,1,1,0,False,True,False,False,1,0,0,0,1,0,1,1,0,0-12m,0,1,high,2,1,5.207571753241291,60.550000000000004
6827-IEAUQ,0,0,1,1,27,1,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45,0,1,1,1,0,1,False,False,False,True,0,0,1,1,1,1,0,0,0,25-36m,2,0,medium,1,0,7.536603909609118,66.94464285714285
7310-EGVHZ,1,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,0,2,0,0,0,True,False,False,False,1,0,0,0,0,0,0,0,0,0-12m,0,1,low,0,0,3.054001181677967,10.1
3413-BMNZE,1,1,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,0,2,1,0,1,True,False,False,False,1,0,0,0,0,0,0,0,0,0-12m,0,1,medium,1,0,3.834061463958434,22.625
6234-RAAPL,0,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),99.9,7251.7,0,2,0,1,1,0,True,False,False,False,1,0,1,1,0,1,1,0,1,37m+,3,0,high,2,1,8.88912909231302,99.33835616438355
6047-YHPVI,1,0,0,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,0,0,0,0-12m,0,1,medium,1,0,5.761736867916757,52.81666666666666
6572-ADKRS,0,0,0,0,46,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,0,2,1,1,0,False,True,False,False,1,0,0,0,1,0,0,0,0,37m+,3,0,high,2,1,8.174505679927726,75.49574468085106
5380-WJKOV,1,0,0,0,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1,0,2,1,1,0,False,False,True,False,0,1,0,1,1,0,1,1,1,25-36m,2,0,premium,3,1,8.174773302525123,101.40714285714286
8168-UQWWF,0,0,0,0,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,0,2,1,1,0,True,False,False,False,1,0,0,0,1,0,1,1,1,0-12m,0,1,high,2,1,7.008866780350549,92.11666666666667
8865-TNMNX,1,0,1,1,10,1,No,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,49.55,475.7,0,1,1,1,0,1,False,False,False,True,0,0,0,1,0,0,0,0,0,0-12m,0,1,medium,1,0,6.16688736221078,43.24545454545454
9489-DEDVP,0,0,1,1,70,1,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,1,Credit card (automatic),69.2,4872.35,0,2,0,1,0,1,False,True,False,False,1,0,1,1,0,0,1,0,1,37m+,3,0,medium,1,0,8.491536864602452,68.62464788732395
9867-JCZSP,0,0,1,1,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,418.25,0,1,1,0,0,0,False,False,False,True,0,0,0,0,0,0,0,0,0,13-24m,1,0,low,0,0,6.038467400703318,23.23611111111111
4671-VJLCL,0,0,0,0,63,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),79.85,4861.45,0,2,0,1,0,1,False,True,False,False,1,0,1,1,1,1,1,0,1,37m+,3,0,high,2,1,8.489297705097483,75.96015625
4080-IIARD,0,0,1,0,13,1,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,981.45,0,0,2,1,0,1,False,False,True,False,0,1,1,1,0,1,1,0,1,13-24m,1,0,high,2,1,6.890049451863205,70.10357142857143
3714-NTNFO,0,0,0,0,49,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,3906.7,0,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,0,1,1,37m+,3,0,high,2,1,8.270704244607035,78.134
5948-UJZLF,1,0,0,0,2,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,97.0,0,0,2,1,0,1,False,False,False,True,0,0,0,1,0,0,0,0,0,0-12m,0,1,medium,1,0,4.584967478670572,32.333333333333336
7760-OYPDY,0,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,1,0,0,0-12m,0,1,high,2,1,4.977767690470639,48.050000000000004
