Feature,Chi2,p_value,Cramers_V,Significant,Effect_Size
Contract,1184.5965720837926,5.863038300673393e-258,0.4101156965761409,***,Large
OnlineSecurity,849.9989679615965,2.661149635176552e-185,0.3474004326740552,***,Large
TechSupport,828.1970684587394,1.4430840279998987e-180,0.3429161982469257,***,Large
InternetService,732.309589667794,9.571788222840544e-160,0.32245455521230887,***,Large
PaymentMethod,648.1423274814,3.6823546520098007e-140,0.30335862555407056,***,Large
OnlineBackup,601.812790113409,2.079759216086427e-131,0.2923155121954445,***,Medium
DeviceProtection,558.419369407389,5.505219496457244e-122,0.281579732968073,***,Medium
StreamingMovies,375.6614793452656,2.667756755723681e-82,0.23095080906926801,***,Medium
StreamingTV,374.2039433109813,5.528994485739183e-82,0.2305023384466809,***,Medium
PaperlessBilling,258.27764906707307,4.0733546686659864e-58,0.19149814355338285,***,Medium
Dependents,189.12924940423474,4.924921661215422e-43,0.1638703967886369,***,Medium
SeniorCitizen,159.42630036838742,1.5100668050923772e-36,0.15045309974200427,***,Medium
Partner,158.7333820309922,2.139911344075994e-36,0.15012578474988478,***,Medium
MultipleLines,11.33044148319756,0.0034643829548773003,0.04010925283378871,**,Small
PhoneService,0.9150329892546948,0.3387825358066928,0.011398285522718045,ns,Small
gender,0.4840828822091383,0.48657873605618596,0.008290505631771371,ns,Small
