Feature,VIF
tenure_group_encoded,9.394887440436515
fiber_mtm_risk,8.50774557334887
TotalCharges_log,7.514611184344622
cluster_label,7.115085106074595
is_flight_risk,7.025757258380189
long_contract_loyal,6.247000275176722
PaperlessBilling,6.064500072035015
paperless_no_autopay,6.027614662312589
is_dsl,5.905866267485161
contract_risk_score,5.609188856238104
price_segment_encoded,5.308627384579812
has_security_gap,5.283981428888094
has_security_bundle,5.2061919788810975
StreamingMovies_binary,5.039149851435584
is_auto_payment,4.929681826326667
SeniorCitizen,4.909877218970076
senior_no_support,4.790409880652071
premium_retention_target,4.759457109979037
has_partial_security,4.748588626857023
OnlineSecurity_binary,4.424572655716678
OnlineBackup_binary,4.383684437042893
is_heavy_streaming,4.237850234967503
is_electronic_check,3.9389477793609418
has_premium_protection,3.4290688193645384
new_customer_high_price,3.225562179902648
DeviceProtection_binary,3.1955963502339353
fiber_long_contract,3.063680929869935
upsell_opportunity,3.0548762022008416
Partner,2.851054599466989
high_price_full_services,2.611784083266731
needs_retention,2.392447627974102
MultipleLines_binary,2.390365912910596
Dependents,1.959307065276522
gender,1.953170570283442
is_value_at_risk,1.6585448134301497
high_price_no_services,1.5043846356383737
single_minimal_services,1.3653962188584001
