Feature,VIF
StreamingTV_binary,inf
TechSupport_binary,inf
security_services_count,inf
has_internet,inf
echeck_no_autopay,inf
TotalCharges,inf
contract_encoded,inf
projected_24m_value,inf
family_size_indicator,2779.4196680304203
revenue_per_month,195.59512472399112
avg_monthly_spend,98.26029767128071
is_fiber,81.3145493445794
total_services,79.65046775927199
tenure,37.413609186357164
MonthlyCharges,30.50575282153728
is_new_customer,25.77640309726264
has_any_services,22.895265943955014
mtm_mid_tenure,20.72697270976866
is_high_price,17.920694838191732
is_likely_household,16.359152034216123
loyalty_value_score,15.463017113526483
mtm_new_customer,14.093601210014342
is_fully_engaged,13.552275076101628
entertainment_services_count,11.834410977775121
PhoneService,10.059325397800087
